task_id,episode_cluster_id,flow_episode_id,phase4_split,dependency_group,relative_path,sha256,size_bytes,evidence_present,evidence_storage_type,source_class,document_id,signal_family_id,document_role,evidence_date,issue_date,publication_date,effective_date,expiry_date,geographic_scope,window_type,is_zero_result_capture,is_direct_official,is_update,parent_family_id,reviewer_1,reviewer_2,adjudication_status,notes,review_origin,review_id,evidence_id,reviewer_1_decision,reviewer_2_decision,historical_availability_status,prior_episode_overlap_status,review_action,claim_eligibility_status,onset_date,days_from_onset,active_flow_episode_id,clean_pre_onset_signal,independent_episode_unit
E051_UKMTO_ADVISORY_onset,E051,51,test,E051,E051/UKMTO_ADVISORY/onset/20260301-UKMTO_ADVISORY_003-26-UPDATE_002.pdf,3b3b30ff51e50c6fa74544fbfa039728b8f57ef46d7725c86a326a7644cbf0a4,132811,True,local_original,UKMTO_ADVISORY,3b3b30ff51e50c6f,UKMTO-ADVISORY-003-26,update,2026-03-01,2026-03-01,,,,Strait of Hormuz and adjacent waters,onset,False,True,True,UKMTO-ADVISORY-003-26,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,3.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260301-UKMTO_WARNING_004-26.pdf,731469409e2faf7b4e9e6c0d4f6d279123be0dcacd4b84ea2f1bb17afcdf38b9,238182,True,local_original,UKMTO_WARNING,731469409e2faf7b,UKMTO-WARNING-004-26,positive_signal,2026-03-01,2026-03-01,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,3.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260301-UKMTO_WARNING_005-26.pdf,e4d415ae4d13a77756f9dc11c51fc1d856b33669a15271c6b02805c82b5fd777,251148,True,local_original,UKMTO_WARNING,e4d415ae4d13a777,UKMTO-WARNING-005-26,positive_signal,2026-03-01,2026-03-01,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,3.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260301-UKMTO_WARNING_006-26.pdf,902794191370d5e6959e67ddfbb5661f23e22347ae16d153bf9c6076d6425c19,241674,True,local_original,UKMTO_WARNING,902794191370d5e6,UKMTO-WARNING-006-26,positive_signal,2026-03-01,2026-03-01,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,3.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260301-UKMTO_WARNING_007-26.pdf,d59984f571d570a935ae79a4cb99de7bf3427d77b8e147334e3de3d3e281dddb,282355,True,local_original,UKMTO_WARNING,d59984f571d570a9,UKMTO-WARNING-007-26,positive_signal,2026-03-01,2026-03-01,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,3.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260302-UKMTO_WARNING_005-26-UPDATE_001.pdf,f3237190139ee139d864be0f0105f46e3e49b12c26919ca870ddd4dffd15d7e3,254789,True,local_original,UKMTO_WARNING,f3237190139ee139,UKMTO-WARNING-005-26,update,2026-03-02,2026-03-02,,,,Strait of Hormuz and adjacent waters,onset,False,True,True,UKMTO-WARNING-005-26,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,4.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260302-UKMTO_WARNING_008-26.pdf,096fa7df9085dd0d887638da6ada9b12273c87518084fd263c972f45cb9e4584,216287,True,local_original,UKMTO_WARNING,096fa7df9085dd0d,UKMTO-WARNING-008-26,positive_signal,2026-03-02,2026-03-02,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,4.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260303-UKMTO_WARNING_009-26.pdf,e9c189711a49d4d5da8467c2ed7d101e22c93aba54cc97af3c07322a641e9ced,261007,True,local_original,UKMTO_WARNING,e9c189711a49d4d5,UKMTO-WARNING-009-26,positive_signal,2026-03-03,2026-03-03,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,5.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260304-UKMTO_WARNING_010-26.pdf,33a049b80750fcc49c9f2099f09d74243af5fb49a36f7ce9d59c767f50f0a700,228997,True,local_original,UKMTO_WARNING,33a049b80750fcc4,UKMTO-WARNING-010-26,positive_signal,2026-03-04,2026-03-04,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,6.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260304-UKMTO_WARNING_011-26.pdf,92443ff866921eb4ffcb157d464b94cf0c3ede00af4f0d0ff5c8ab3a34fd11e3,227011,True,local_original,UKMTO_WARNING,92443ff866921eb4,UKMTO-WARNING-011-26,positive_signal,2026-03-04,2026-03-04,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,6.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260304-UKMTO_WARNING_012-26-UPDATE_001.pdf,7a12fe69184ea19762ef3c83683587188f654e5a64bc251e0d2cff346aeee420,234170,True,local_original,UKMTO_WARNING,7a12fe69184ea197,UKMTO-WARNING-012-26,update,2026-03-04,2026-03-04,,,,Strait of Hormuz and adjacent waters,onset,False,True,True,UKMTO-WARNING-012-26,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,6.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260304-UKMTO_WARNING_012-26.pdf,6848bb2c6750cfbd10ed4ff055bc63f316e0d832b1f33dc5bbff7f162e948fe2,229954,True,local_original,UKMTO_WARNING,6848bb2c6750cfbd,UKMTO-WARNING-012-26,positive_signal,2026-03-04,2026-03-04,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,6.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260304-UKMTO_WARNING_013-26.pdf,08fcdedc185c359f8e4ca85b3adc1a95912cc98daa793f3d6889c0b07ab56635,241899,True,local_original,UKMTO_WARNING,08fcdedc185c359f,UKMTO-WARNING-013-26,positive_signal,2026-03-04,2026-03-04,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,6.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260304-UKMTO_WARNING_014-26-UPDATE_001.pdf,22af59f6442dfc6a276ad0a9c9aefbaeec5e886c51a4e1cd016b51da097bdbf4,256397,True,local_original,UKMTO_WARNING,22af59f6442dfc6a,UKMTO-WARNING-014-26,update,2026-03-04,2026-03-04,,,,Strait of Hormuz and adjacent waters,onset,False,True,True,UKMTO-WARNING-014-26,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,6.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260304-UKMTO_WARNING_014-26.pdf,a1dc892a829a35e0502d2f65b47d6c54bf033d0c51f0f1b09bcdfeea356f603a,249318,True,local_original,UKMTO_WARNING,a1dc892a829a35e0,UKMTO-WARNING-014-26,positive_signal,2026-03-04,2026-03-04,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,6.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260306-UKMTO_WARNING_015-26.pdf,24c275df01938ab3b282218352889b21cfdb01b1d0551cb928d02d62f6bcedfd,213663,True,local_original,UKMTO_WARNING,24c275df01938ab3,UKMTO-WARNING-015-26,positive_signal,2026-03-06,2026-03-06,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,8.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260307-UKMTO_WARNING_016-26-UK-OS-UPDATE_001.pdf,7d26187564b8762ab428c64522820e18dcfcc53abe4e09591030b785abb63227,236962,True,local_original,UKMTO_WARNING,7d26187564b8762a,UKMTO-WARNING-016-26,update,2026-03-07,2026-03-07,,,,Strait of Hormuz and adjacent waters,onset,False,True,True,UKMTO-WARNING-016-26,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,9.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260307-UKMTO_WARNING_016-26-UK-OS.pdf,b0f0cb6c403f214c1060d88e852386b5e010c9a58c66ea86102f64c2d6e46154,231771,True,local_original,UKMTO_WARNING,b0f0cb6c403f214c,UKMTO-WARNING-016-26,positive_signal,2026-03-07,2026-03-07,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,9.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260310-UKMTO_WARNING_017-26.pdf,5fabeebe6a541762800e5df35f85fe4924639adc17fc6f6611fd300650b308bd,221416,True,local_original,UKMTO_WARNING,5fabeebe6a541762,UKMTO-WARNING-017-26,positive_signal,2026-03-10,2026-03-10,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,12.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260311-UKMTO_WARNING_018-26-UPDATE_001.pdf,90c27e74095070693f88d918dcd29c59525cf304abb818a4692b5f23570cc714,318347,True,local_original,UKMTO_WARNING,90c27e7409507069,UKMTO-WARNING-018-26,update,2026-03-11,2026-03-11,,,,Strait of Hormuz and adjacent waters,onset,False,True,True,UKMTO-WARNING-018-26,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,13.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260311-UKMTO_WARNING_018-26.pdf,4e1ccb838582a7cdb9b3a0bb8846ffe0133f88455842fb18f293d8817f9eafb8,317901,True,local_original,UKMTO_WARNING,4e1ccb838582a7cd,UKMTO-WARNING-018-26,positive_signal,2026-03-11,2026-03-11,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,13.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260311-UKMTO_WARNING_019-26.pdf,674d1c534aab1ec855ca59f47067face0d9e09a7e8a14d879a51ac7b006a7429,318733,True,local_original,UKMTO_WARNING,674d1c534aab1ec8,UKMTO-WARNING-019-26,positive_signal,2026-03-11,2026-03-11,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,13.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260311-UKMTO_WARNING_020-26.pdf,afa56e1c8bd85a34832341aabc012acef3af414dbc3baf2a4ac7e9de878eaa08,260797,True,local_original,UKMTO_WARNING,afa56e1c8bd85a34,UKMTO-WARNING-020-26,positive_signal,2026-03-11,2026-03-11,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,13.0,51.0,False,E051
E051_UKMTO_WARNING_onset,E051,51,test,E051,E051/UKMTO_WARNING/onset/20260311-UKMTO_WARNING_021-26-UPDATE_001.pdf,35515481beede5e213a4e0663582959313c5b3884b2f331c0ceb34ca14bd5e15,209318,True,local_original,UKMTO_WARNING,35515481beede5e2,UKMTO-WARNING-021-26,update,2026-03-11,2026-03-11,,,,Strait of Hormuz and adjacent waters,onset,False,True,True,UKMTO-WARNING-021-26,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,13.0,51.0,False,E051
